"User ID",Name,Date,Day,Check-In,Check-Out,"Work Hours","All Punches",Status
92,Unknown,22-Dec-2025,Monday,"09:09 AM",,,09:09:27,"Missing Out-Punch"
120,Unknown,22-Dec-2025,Monday,"09:09 AM",,,09:09:33,"Missing Out-Punch"
129,Unknown,22-Dec-2025,Monday,"09:11 AM",,,09:11:14,"Missing Out-Punch"
1,"Techmire Solutions",22-Dec-2025,Monday,"09:14 AM",,,09:14:22,"Missing Out-Punch"
6,Unknown,22-Dec-2025,Monday,"09:14 AM",,,09:14:42,"Missing Out-Punch"
32,Unknown,22-Dec-2025,Monday,"09:18 AM",,,09:18:35,"Missing Out-Punch"
133,Unknown,22-Dec-2025,Monday,"09:21 AM",,,09:21:08,"Missing Out-Punch"
135,Unknown,22-Dec-2025,Monday,"09:21 AM",,,09:21:21,"Missing Out-Punch"
100,Unknown,22-Dec-2025,Monday,"09:21 AM",,,09:21:52,"Missing Out-Punch"
44,"Mesam Abbas",22-Dec-2025,Monday,"09:27 AM",,,09:27:10,"Missing Out-Punch"
123,Unknown,22-Dec-2025,Monday,"09:34 AM",,,09:34:46,"Missing Out-Punch"
110,Unknown,22-Dec-2025,Monday,"09:35 AM",,,09:35:02,"Missing Out-Punch"
131,Unknown,22-Dec-2025,Monday,"09:36 AM",,,09:36:30,"Missing Out-Punch"
127,Unknown,22-Dec-2025,Monday,"09:53 AM",,,09:53:49,"Missing Out-Punch"
126,Unknown,22-Dec-2025,Monday,"10:02 AM",,,10:02:16,"Missing Out-Punch"
55,Unknown,22-Dec-2025,Monday,"11:46 AM",,,11:46:07,"Missing Out-Punch"
